Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,Facility Selected,Facility Type,Rehab / Construction Started,Facility Equipped,Construction & Handover Completed,Community Selected,# Households in Targeted Community,Facilitators Trained,CHVs Trained,PSP to Affected Sessions Conducted,Volunteers trained as Facilitators on PSP-RFL,Individuals Reached,PSP for Humanitarians Sessions Conducted,Humanitarians Reached
PH060400000,PH060415000,PH060415001,Singapore Red Cross,Aklan,New Washington,Candelaria,,7/14/14,1,BHS,,,,,144,,7,,,,,
PH060400000,PH060415000,PH060415005,Singapore Red Cross,Aklan,New Washington,Guinbaliwan,,8/4/14,,,,,,,568,,8,,,,,
PH060400000,PH060415000,PH060415006,Singapore Red Cross,Aklan,New Washington,Jalas,,8/4/14,,,,,,,370,,,,,,,
PH060400000,PH060415000,PH060415007,Singapore Red Cross,Aklan,New Washington,Jugas,,8/4/14,,,,,,,524,,9,,,,,
PH060400000,PH060415000,PH060415008,Singapore Red Cross,Aklan,New Washington,Lawa-an,,8/4/14,,,,,,,312,,,,,,,
PH060400000,PH060415000,PH060415010,Singapore Red Cross,Aklan,New Washington,Mataphao,,7/25/14,1,BHS,,,,,397,,,,,,,
PH060600000,PH060602000,PH060602003,IFRC,Antique,Barbaza,Bahuyan,,10/3/14,,,,,,1,351,,,,,,,
PH060600000,PH060602000,PH060602006,IFRC,Antique,Barbaza,Binangbang,,10/3/14,,,,,,1,176,,,,,,,
PH060600000,PH060602000,PH060602016,IFRC,Antique,Barbaza,Igpalge,,10/3/14,,,,,,1,241,,,,,,,
PH060600000,PH060609000,PH060609011,IFRC,Antique,Laua-An,Guisijan,,10/3/14,,,,,,1,497,,,,,,,
PH060600000,PH060609000,PH060609021,IFRC,Antique,Laua-An,Lindero,,10/3/14,,,,,,1,316,,,,,,,
PH060600000,PH060609000,PH060609026,IFRC,Antique,Laua-An,Maria,,10/3/14,,,,,,1,325,,,,,,,
PH060600000,PH060609000,PH060609030,IFRC,Antique,Laua-An,Oloc,,10/3/14,,,,,,1,207,,,,,,,
PH060600000,PH060615000,PH060615001,IFRC,Antique,Sebaste,Abiera,,10/3/14,,,,,,1,583,,,,,,,
PH060600000,PH060615000,PH060615002,IFRC,Antique,Sebaste,Aguila,,10/3/14,,,,,,1,358,,,,,,,
PH060600000,PH060615000,PH060615004,IFRC,Antique,Sebaste,Aras-Asan,,10/3/14,,,,,,1,348,,,,,,,
PH060600000,PH060615000,PH060615005,IFRC,Antique,Sebaste,Bacalan,,10/3/14,,,,,,1,535,,,,,,,
PH060600000,PH060615000,PH060615010,IFRC,Antique,Sebaste,Idio,,10/3/14,,,,,,1,524,,,,,,,
PH061900000,PH061901000,PH061901016,IFRC,Capiz,Cuartero,Nagba,,8/5/14,,,,,,1,359,,,,,,,
PH061900000,PH061902000,PH061902001,IFRC,Capiz,Dao,Aganan,,8/29/14,,,,,,,,,5,,,,,
PH061900000,PH061902000,PH061902001,IFRC,Capiz,Dao,Aganan,,6/23/14,1,BHS,,,,1,153,,,,,,,
PH061900000,PH061902000,PH061902002,IFRC,Capiz,Dao,Agtambi,,7/31/14,,,,,,1,297,,,,,,,
PH061900000,PH061902000,PH061902003,IFRC,Capiz,Dao,Agtanguay,,7/2/14,1,BHS,,,,1,254,,,,,,,
PH061900000,PH061902000,PH061902005,IFRC,Capiz,Dao,Bita,,8/14/14,,,,,,1,126,,,,,,,
PH061900000,PH061902000,PH061902007,IFRC,Capiz,Dao,Daplas,,7/31/14,,,,,,1,194,,,,,,,
PH061900000,PH061902000,PH061902009,IFRC,Capiz,Dao,Ilas Sur,,7/31/14,,,,,,1,340,,,,,,,
PH061900000,PH061902000,PH061902012,IFRC,Capiz,Dao,Lacaron,,6/23/14,1,BHS,,,,1,436,,,,,,,
PH061900000,PH061902000,PH061902013,IFRC,Capiz,Dao,Malonoy,,7/31/14,,,,,,1,334,,,,,,,
PH061900000,PH061902000,PH061902015,IFRC,Capiz,Dao,Mapulang Bato,,8/5/14,,,,,,1,137,,,,,,,
PH061900000,PH061902000,PH061902017,IFRC,Capiz,Dao,Nasunogan,,8/29/14,,,,,,,,,12,,,,,
PH061900000,PH061902000,PH061902017,IFRC,Capiz,Dao,Nasunogan,,8/14/14,,,,,,1,611,,,,,,,
PH061900000,PH061902000,PH061902020,IFRC,Capiz,Dao,Quinabcaban,,8/29/14,,,,,,,,,6,,,,,
PH061900000,PH061902000,PH061902020,IFRC,Capiz,Dao,Quinabcaban,,8/14/14,,,,,,1,330,,,,,,,
PH061900000,PH061904000,PH061904029,German Red Cross,Capiz,Dumarao,Poblacion Ilaya,,6/23/14,1,RHU,,,,,,,,,,,,
PH061900000,PH061905000,PH061905002,Singapore Red Cross,Capiz,Ivisan,Agustin Navarra,,8/15/14,,,,,,,,,7,,,,,
PH061900000,PH061905000,PH061905002,Singapore Red Cross,Capiz,Ivisan,Agustin Navarra,,6/9/14,,,,,,1,452,,,,,,,
PH061900000,PH061905000,PH061905002,Singapore Red Cross,Capiz,Ivisan,Agustin Navarra,,6/2/14,1,BHS,,,,,,,,,,,,
PH061900000,PH061905000,PH061905003,Singapore Red Cross,Capiz,Ivisan,Balaring,,8/15/14,,,,,,,,,6,,,,,
PH061900000,PH061905000,PH061905003,Singapore Red Cross,Capiz,Ivisan,Balaring,,7/31/14,,,,,,1,657,,,,,,,
PH061900000,PH061905000,PH061905004,Singapore Red Cross,Capiz,Ivisan,Basiao,,8/15/14,,,,,,,,,6,,,,,
PH061900000,PH061905000,PH061905004,Singapore Red Cross,Capiz,Ivisan,Basiao,,7/31/14,,,,,,1,411,,,,,,,
PH061900000,PH061905000,PH061905005,Hong Kong Red Cross,Capiz,Ivisan,Cabugao,,6/9/14,,,,,,1,359,,,,,,,
PH061900000,PH061905000,PH061905011,Hong Kong Red Cross,Capiz,Ivisan,Mianay,,6/9/14,1,BHS,,,,,,,,,,,,
PH061900000,PH061905000,PH061905011,Hong Kong Red Cross,Capiz,Ivisan,Mianay,,6/9/14,,,,,,1,528,,,,,,,
PH061900000,PH061905000,PH061905012,Hong Kong Red Cross,Capiz,Ivisan,Ondoy,,6/9/14,1,BHS,,,,,,,,,,,,
PH061900000,PH061905000,PH061905012,Hong Kong Red Cross,Capiz,Ivisan,Ondoy,,6/9/14,,,,,,1,420,,,,,,,
PH061900000,PH061905000,PH061905015,Hong Kong Red Cross,Capiz,Ivisan,Santa Cruz,,6/9/14,,,,,,1,303,,,,,,,
PH061900000,PH061905000,PH061905015,Singapore Red Cross,Capiz,Ivisan,Santa Cruz,,6/2/14,1,BHS,,,,,,,,,,,,
PH061900000,PH061908000,PH061908003,Singapore Red Cross,Capiz,Mambusao,Balit,,7/31/14,,,,,,1,255,,,,,,,
PH061900000,PH061908000,PH061908006,Singapore Red Cross,Capiz,Mambusao,Bato Bato,,7/31/14,,,,,,1,452,,,,,,,
PH061900000,PH061908000,PH061908008,Singapore Red Cross,Capiz,Mambusao,Bergante,,6/9/14,,,,,,1,236,,,,,,,
PH061900000,PH061908000,PH061908008,Singapore Red Cross,Capiz,Mambusao,Bergante,,6/2/14,1,BHS,,,,,,,,,,,,
PH061900000,PH061908000,PH061908009,Singapore Red Cross,Capiz,Mambusao,Bunga,,7/31/14,,,,,,1,244,,,,,,,
PH061900000,PH061908000,PH061908013,Singapore Red Cross,Capiz,Mambusao,Caidquid,,6/9/14,,,,,,1,452,,,,,,,
PH061900000,PH061908000,PH061908013,Singapore Red Cross,Capiz,Mambusao,Caidquid,,6/2/14,1,BHS,,,,,,,,,,,,
PH061900000,PH061908000,PH061908026,Singapore Red Cross,Capiz,Mambusao,Tumalalud,,7/31/14,,,,,,1,360,,,,,,,
PH061900000,PH061909000,PH061909004,IFRC,Capiz,Panay,Anhawon,,8/14/14,,,,,,1,279,,,,,,,
PH061900000,PH061909000,PH061909022,IFRC,Capiz,Panay,Daga,,8/14/14,,,,,,1,356,,,,,,,
PH061900000,PH061909000,PH061909041,IFRC,Capiz,Panay,Tanza Sur,,8/5/14,,,,,,1,274,,,,,,,
PH061900000,PH061909000,PH061909041,IFRC,Capiz,Panay,Tanza Sur,,10/3/14,1,,,,,,,,,,,,,
PH061900000,PH061910000,PH061910011,IFRC,Capiz,Panitan,Cala-an,,8/5/14,,,,,,1,290,,,,,,,
PH061900000,PH061910000,PH061910017,IFRC,Capiz,Panitan,Pasugue,,8/14/14,,,,,,1,219,,,,,,,
PH061900000,PH061910000,PH061910024,IFRC,Capiz,Panitan,Timpas,,8/5/14,1,BHS,,,,1,927,,,,,,,
PH072200000,PH072243000,PH072243020,IFRC,Cebu,San Remigio,Poblacion,,9/19/14,1,RHU,,,,,,,,,,,,
PH072200000,PH072243000,PH072243025,IFRC,Cebu,San Remigio,Tambongon,,9/19/14,1,BHS,,,,,,,,,,,,
PH072200000,PH072249000,PH072249010,IFRC,Cebu,Tabuelan,Dalid,,9/19/14,1,BHS,,,,,,,,,,,,
PH072200000,PH072249000,PH072249005,IFRC,Cebu,Tabuelan,Kanlim-ao,,9/19/14,1,BHS,,,,,,,,,,,,
PH072200000,PH072249000,PH072249013,IFRC,Cebu,Tabuelan,Mabunao,,9/19/14,1,BHS,,,,,,,,,,,,
PH072200000,PH072249000,PH072249016,IFRC,Cebu,Tabuelan,Poblacion,,9/19/14,1,RHU,,,,,,,,,,,,
PH083700000,PH083706000,PH083706002,IFRC,Leyte,Barugo,Amahit,,10/3/14,,,,,,3,600,,,,,,,
PH083700000,PH083717000,PH083717001,IFRC,Leyte,Dagami,Abaca,,10/3/14,1,,,,,4,613,,,,,,,
PH083700000,PH083740000,PH083740011,IFRC,Leyte,Palompon,Cantuhaon,,10/3/14,1,,,,,3,798,,,,,,,
PH083700000,PH083740000,PH083740035,IFRC,Leyte,Palompon,San Guillermo,,10/3/14,1,,,,,4,677,,,,,,,
PH083700000,PH083740000,PH083740045,IFRC,Leyte,Palompon,Tabunok,,10/3/14,1,,,,,3,689,,,,,,,
PH083700000,PH083747000,PH083747024,IFRC,Leyte,Tacloban City (Capital),Barangay 105 (Suhi),,10/3/14,1,,,,,3,564,,,,,,,
PH083700000,PH083747000,PH083747120,IFRC,Leyte,Tacloban City (Capital),Barangay 87,,10/3/14,,,,,,,,,,,,,,
PH083700000,PH083747000,PH083747131,IFRC,Leyte,Tacloban City (Capital),Barangay 97 (Cabalawan),,10/3/14,1,,,,,1,674,,25,,,,,
