Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,Shelter Repair Beneficiaries Selected,"First Distribution (6,000 PHP)","Second Distribution (4,000 PHP)",CGI,Shelter Repair Closeout / Completed,Shelter Tool Kits,Sanitation Kits,Core Shelter Beneficiaries Selected,Relocation Beneficiaries Selected,Construction Started,Wooden Core Shelter Completed,Half-Concrete Core Shelter Completed,Relocation Completed,Core Shelter PDM,Relocation PDM,Training- Skilled Labour
PH060400000,PH060402000,PH060402008,Spanish Red Cross,Aklan,Balete,Guanko,,41922,,,,,,,,,,,2,,,,,
PH060400000,PH060402000,PH060402008,Spanish Red Cross,Aklan,Balete,Guanko,,41943,,90,,90,,,,,,,,,,,,
PH060400000,PH060402000,PH060402009,Spanish Red Cross,Aklan,Balete,Morales,,41801,222,,,,,196,311,88,,,,,,,,
PH060400000,PH060402000,PH060402009,Spanish Red Cross,Aklan,Balete,Morales,,41943,,,,,,,,,,3,,,,,,
PH060400000,PH060402000,PH060402010,Spanish Red Cross,Aklan,Balete,Oquendo,,41766,88,,,,,117,117,28,,,,,,,,
PH060400000,PH060402000,PH060402010,Spanish Red Cross,Aklan,Balete,Oquendo,,41901,,,,,,,,,,16,4,,,,,
PH060400000,PH060402000,PH060402010,Spanish Red Cross,Aklan,Balete,Oquendo,,41908,,,,,,,,,,,2,,,,,
PH060400000,PH060402000,PH060402010,Spanish Red Cross,Aklan,Balete,Oquendo,,41922,,,,,,,,,,,4,,,,,
PH060400000,PH060402000,PH060402010,Spanish Red Cross,Aklan,Balete,Oquendo,,41929,,,,,,,,,,,3,,,,,
PH060400000,PH060402000,PH060402010,Spanish Red Cross,Aklan,Balete,Oquendo,,41936,,,,,,,,,,-2,1,,,,,
PH060400000,PH060402000,PH060402010,Spanish Red Cross,Aklan,Balete,Oquendo,,41943,,88,,88,,,,,,2,2,,,,,
PH060400000,PH060402000,PH060402011,Spanish Red Cross,Aklan,Balete,Poblacion,,41873,,,,,,6,,6,,,,,,,,
PH060400000,PH060402000,PH060402011,Spanish Red Cross,Aklan,Balete,Poblacion,,41922,19,,,,,,,,,,,,,,,
PH060400000,PH060402000,PH060402011,Spanish Red Cross,Aklan,Balete,Poblacion,,41929,,,,,,,,1,,,,,,,,
PH060400000,PH060403000,PH060403001,IFRC,Aklan,Banga,Agbanawan,,41806,62,,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403001,IFRC,Aklan,Banga,Agbanawan,,41929,,,,61,,,,,,,,,,,,
PH060400000,PH060403000,PH060403002,IFRC,Aklan,Banga,Bacan,,41806,26,,,,,,,3,,,,,,,,
PH060400000,PH060403000,PH060403002,IFRC,Aklan,Banga,Bacan,,41929,,,,25,,,,,,,,,,,,
PH060400000,PH060403000,PH060403003,IFRC,Aklan,Banga,Badiangan,,41806,95,,,,,,,5,,,,,,,,
PH060400000,PH060403000,PH060403003,IFRC,Aklan,Banga,Badiangan,,41929,1,,,37,,,,,,,,,,,,
PH060400000,PH060403000,PH060403003,IFRC,Aklan,Banga,Badiangan,,41943,,,,1,,,,,,,,,,,,
PH060400000,PH060403000,PH060403004,IFRC,Aklan,Banga,Cerrudo,,41806,49,,,,,,,11,,,,,,,,
PH060400000,PH060403000,PH060403004,IFRC,Aklan,Banga,Cerrudo,,41929,,,,47,,,,,,,,,,,,
PH060400000,PH060403000,PH060403005,IFRC,Aklan,Banga,Cupang,,41806,14,,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403005,IFRC,Aklan,Banga,Cupang,,41929,1,,,15,,,,,,,,,,,,
PH060400000,PH060403000,PH060403006,IFRC,Aklan,Banga,Daguitan,,41806,31,,,,,,,2,,,,,,,,
PH060400000,PH060403000,PH060403006,IFRC,Aklan,Banga,Daguitan,,41929,,,,31,,,,,,,,,,,,
PH060400000,PH060403000,PH060403007,IFRC,Aklan,Banga,Daja Norte,,41806,71,,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403007,IFRC,Aklan,Banga,Daja Norte,,41886,,,,68,,,,,,,,,,,,
PH060400000,PH060403000,PH060403007,IFRC,Aklan,Banga,Daja Norte,,41929,,69,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403007,IFRC,Aklan,Banga,Daja Norte,,41943,,,,1,,,,,,,,,,,,
PH060400000,PH060403000,PH060403008,IFRC,Aklan,Banga,Daja Sur,,41806,84,,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403008,IFRC,Aklan,Banga,Daja Sur,,41886,,,,84,,,,,,,,,,,,
PH060400000,PH060403000,PH060403008,IFRC,Aklan,Banga,Daja Sur,,41929,,84,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403009,IFRC,Aklan,Banga,Dingle,,41806,41,,,,,,,31,,,,,,,,
PH060400000,PH060403000,PH060403009,IFRC,Aklan,Banga,Dingle,,41929,,,,41,,,,,,,,,,,,
PH060400000,PH060403000,PH060403010,IFRC,Aklan,Banga,Jumarap,,41806,44,,,,,,,15,,,,,,,,
PH060400000,PH060403000,PH060403011,IFRC,Aklan,Banga,Lapnag,,41901,,,,,,,,2,,,,,,,,
PH060400000,PH060403000,PH060403011,IFRC,Aklan,Banga,Lapnag,,41908,29,,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403011,IFRC,Aklan,Banga,Lapnag,,41929,,,,29,,,,,,,,,,,,
PH060400000,PH060403000,PH060403012,IFRC,Aklan,Banga,Libas,,41806,57,,,,,,,11,,,,,,,,
PH060400000,PH060403000,PH060403012,IFRC,Aklan,Banga,Libas,,41929,,,,57,,,,,,,,,,,,
PH060400000,PH060403000,PH060403014,IFRC,Aklan,Banga,Mambog,,41806,74,,,,,,,23,,,,,,,,
PH060400000,PH060403000,PH060403014,IFRC,Aklan,Banga,Mambog,,41885,,,,75,,,,,,,,,,,,
PH060400000,PH060403000,PH060403014,IFRC,Aklan,Banga,Mambog,,41929,1,74,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403014,IFRC,Aklan,Banga,Mambog,,41943,,1,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403015,IFRC,Aklan,Banga,Mangan,,41806,17,,,,,,,8,,,,,,,,
PH060400000,PH060403000,PH060403016,IFRC,Aklan,Banga,Muguing,,41806,25,,,,,,,6,,,,,,,,
PH060400000,PH060403000,PH060403016,IFRC,Aklan,Banga,Muguing,,41885,,,,25,,,,,,,,,,,,
PH060400000,PH060403000,PH060403016,IFRC,Aklan,Banga,Muguing,,41929,,25,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403017,IFRC,Aklan,Banga,Pagsanghan,,41806,17,,,,,,,4,,,,,,,,
PH060400000,PH060403000,PH060403017,IFRC,Aklan,Banga,Pagsanghan,,41929,,,,17,,,,,,,,,,,,
PH060400000,PH060403000,PH060403018,IFRC,Aklan,Banga,Palale,,41806,23,,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403018,IFRC,Aklan,Banga,Palale,,41929,,,,20,,,,,,,,,,,,
PH060400000,PH060403000,PH060403020,IFRC,Aklan,Banga,Polo,,41806,77,,,,,,,6,,,,,,,,
PH060400000,PH060403000,PH060403020,IFRC,Aklan,Banga,Polo,,41929,,,,76,,,,,,,,,,,,
PH060400000,PH060403000,PH060403021,IFRC,Aklan,Banga,Polocate,,41806,115,,,,,,,8,,,,,,,,
PH060400000,PH060403000,PH060403021,IFRC,Aklan,Banga,Polocate,,41929,,,,114,,,,,,,,,,,,
PH060400000,PH060403000,PH060403022,IFRC,Aklan,Banga,San Isidro,,41806,12,,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403022,IFRC,Aklan,Banga,San Isidro,,41929,,,,9,,,,,,,,,,,,
PH060400000,PH060403000,PH060403023,IFRC,Aklan,Banga,Sibalew,,41806,117,,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403023,IFRC,Aklan,Banga,Sibalew,,41929,,,,116,,,,,,,,,,,,
PH060400000,PH060403000,PH060403024,IFRC,Aklan,Banga,Sigcay,,41806,57,,,,,,,3,,,,,,,,
PH060400000,PH060403000,PH060403024,IFRC,Aklan,Banga,Sigcay,,41929,,,,52,,,,,,,,,,,,
PH060400000,PH060403000,PH060403024,IFRC,Aklan,Banga,Sigcay,,41943,,,,1,,,,,,,,,,,,
PH060400000,PH060403000,PH060403025,IFRC,Aklan,Banga,Taba-ao,,41806,31,,,,,,,5,,,,,,,,
PH060400000,PH060403000,PH060403025,IFRC,Aklan,Banga,Taba-ao,,41929,,,,29,,,,,,,,,,,,
PH060400000,PH060403000,PH060403026,IFRC,Aklan,Banga,Tabayon,,41806,27,,,,,,,6,,,,,,,,
PH060400000,PH060403000,PH060403026,IFRC,Aklan,Banga,Tabayon,,41901,14,,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403026,IFRC,Aklan,Banga,Tabayon,,41929,,,,41,,,,-6,,,,,,,,
PH060400000,PH060403000,PH060403027,IFRC,Aklan,Banga,Tinapuay,,41806,36,,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403027,IFRC,Aklan,Banga,Tinapuay,,41886,,,,36,,,,,,,,,,,,
PH060400000,PH060403000,PH060403027,IFRC,Aklan,Banga,Tinapuay,,41929,,36,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403028,IFRC,Aklan,Banga,Torralba,,41806,33,,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403028,IFRC,Aklan,Banga,Torralba,,41929,,,,32,,,,,,,,,,,,
PH060400000,PH060403000,PH060403029,IFRC,Aklan,Banga,Ugsod,,41806,55,,,,,,,,,,,,,,,
PH060400000,PH060403000,PH060403029,IFRC,Aklan,Banga,Ugsod,,41929,,,,55,,,,,,,,,,,,
PH060400000,PH060403000,PH060403030,IFRC,Aklan,Banga,Venturanza,,41806,43,,,,,,,15,,,,,,,,
PH060400000,PH060403000,PH060403030,IFRC,Aklan,Banga,Venturanza,,41929,,,,41,,,,,,,,,,,,
PH060400000,PH060408000,PH060408001,Air Asia,Aklan,Lezo,Agcawilan,,41859,,,,,,,,27,,,,,,,,
PH060400000,PH060408000,PH060408001,Air Asia,Aklan,Lezo,Agcawilan,,41915,,,,,,,,2,,,,,,,,
PH060400000,PH060408000,PH060408002,Air Asia,Aklan,Lezo,Bagto,,41859,,,,,,,,9,,,,,,,,
PH060400000,PH060408000,PH060408003,Air Asia,Aklan,Lezo,Bugasongan,,41859,,,,,,,,4,,,,,,,,
PH060400000,PH060408000,PH060408004,Air Asia,Aklan,Lezo,Carugdog,,41859,,,,,,,,20,,,,,,,,
PH060400000,PH060408000,PH060408004,Air Asia,Aklan,Lezo,Carugdog,,41936,,,,,,,,,,,,,,,,20
PH060400000,PH060408000,PH060408004,Air Asia,Aklan,Lezo,Carugdog,,41943,,,,,,,,,,10,,,,,,12
PH060400000,PH060408000,PH060408005,Air Asia,Aklan,Lezo,Cogon,,41859,,,,,,,,8,,,,,,,,
PH060400000,PH060408000,PH060408005,Air Asia,Aklan,Lezo,Cogon,,41915,,,,,,,,,,,,,,,,64
PH060400000,PH060408000,PH060408005,Air Asia,Aklan,Lezo,Cogon,,41922,,,,,,,,,,5,,,,,,
PH060400000,PH060408000,PH060408005,Air Asia,Aklan,Lezo,Cogon,,41936,,,,,,,,,,3,,5,,,,-24
PH060400000,PH060408000,PH060408006,Air Asia,Aklan,Lezo,Ibao,,41859,,,,,,,,21,,,,,,,,
PH060400000,PH060408000,PH060408007,Air Asia,Aklan,Lezo,Mina,,41859,,,,,,,,9,,,,,,,,
PH060400000,PH060408000,PH060408008,Air Asia,Aklan,Lezo,Poblacion,,41859,,,,,,,,16,,,,,,,,
PH060400000,PH060408000,PH060408010,Air Asia,Aklan,Lezo,Santa Cruz Bigaa,,41859,,,,,,,,7,,,,,,,,
PH060400000,PH060408000,PH060408011,Air Asia,Aklan,Lezo,Silakat-Nonok,,41859,,,,,,,,19,,,,,,,,
PH060400000,PH060408000,PH060408011,Air Asia,Aklan,Lezo,Silakat-Nonok,,41922,,,,,,,,1,,,,,,,,
PH060400000,PH060408000,PH060408012,Air Asia,Aklan,Lezo,Tayhawan,,41859,,,,,,,,17,,,,,,,,
PH060400000,PH060408000,PH060408012,Air Asia,Aklan,Lezo,Tayhawan,,41936,,,,,,,,,,,,,,,,20
PH060400000,PH060408000,PH060408012,Air Asia,Aklan,Lezo,Tayhawan,,41943,,,,,,,,,,,,,,,,12
PH060400000,PH060409000,PH060409001,Finnish Red Cross,Aklan,Libacao,Agmailig,,41753,41,41,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409001,Finnish Red Cross,Aklan,Libacao,Agmailig,,41842,,,40,,40,,,,,,,,,,,
PH060400000,PH060409000,PH060409002,Finnish Red Cross,Aklan,Libacao,Alfonso XII,,41830,61,61,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409002,Finnish Red Cross,Aklan,Libacao,Alfonso XII,,41867,,,61,,61,,,,,,,,,,,
PH060400000,PH060409000,PH060409003,Finnish Red Cross,Aklan,Libacao,Batobato,,41830,42,42,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409003,Finnish Red Cross,Aklan,Libacao,Batobato,,41867,,,42,,42,,,,,,,,,,,
PH060400000,PH060409000,PH060409004,Finnish Red Cross,Aklan,Libacao,Bonza,,41789,22,22,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409004,Finnish Red Cross,Aklan,Libacao,Bonza,,41858,,,21,,21,,,,,,,,,,,
PH060400000,PH060409000,PH060409005,Finnish Red Cross,Aklan,Libacao,Calacabian,,41789,25,21,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409005,Finnish Red Cross,Aklan,Libacao,Calacabian,,41842,,4,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409005,Finnish Red Cross,Aklan,Libacao,Calacabian,,41858,,,21,,21,,,,,,,,,,,
PH060400000,PH060409000,PH060409005,Finnish Red Cross,Aklan,Libacao,Calacabian,,41867,,,4,,4,,,,,,,,,,,
PH060400000,PH060409000,PH060409006,Finnish Red Cross,Aklan,Libacao,Calamcan,,41830,53,52,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409006,Finnish Red Cross,Aklan,Libacao,Calamcan,,41867,,1,51,,21,,,,,,,,,,,
PH060400000,PH060409000,PH060409006,Finnish Red Cross,Aklan,Libacao,Calamcan,,41901,,,1,,1,,,,,,,,,,,
PH060400000,PH060409000,PH060409007,Finnish Red Cross,Aklan,Libacao,Can-Awan,,41830,16,16,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409007,Finnish Red Cross,Aklan,Libacao,Can-Awan,,41867,,,15,,15,,,,,,,,,,,
PH060400000,PH060409000,PH060409008,Finnish Red Cross,Aklan,Libacao,Casit-an,,41753,15,15,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409008,Finnish Red Cross,Aklan,Libacao,Casit-an,,41842,,,15,,15,,,,,,,,,,,
PH060400000,PH060409000,PH060409010,Air Asia,Aklan,Libacao,Guadalupe,,41901,,,,,,,,8,,,,,,,,
PH060400000,PH060409000,PH060409010,Finnish Red Cross,Aklan,Libacao,Guadalupe,,41753,112,112,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409010,Finnish Red Cross,Aklan,Libacao,Guadalupe,,41842,,,111,,111,,,,,,,,,,,
PH060400000,PH060409000,PH060409010,Air Asia,Aklan,Libacao,Guadalupe,,41929,,,,,,,,-2,,,,,,,,
PH060400000,PH060409000,PH060409011,Air Asia,Aklan,Libacao,Janlud,,41901,,,,,,,,16,,,,,,,,
PH060400000,PH060409000,PH060409011,Finnish Red Cross,Aklan,Libacao,Janlud,,41789,38,37,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409011,Finnish Red Cross,Aklan,Libacao,Janlud,,41858,,1,37,,37,,,,,,,,,,,
PH060400000,PH060409000,PH060409011,Finnish Red Cross,Aklan,Libacao,Janlud,,41901,,,1,,1,,,,,,,,,,,
PH060400000,PH060409000,PH060409011,Air Asia,Aklan,Libacao,Janlud,,41929,,,,,,,,-2,,,,,,,,
PH060400000,PH060409000,PH060409012,Air Asia,Aklan,Libacao,Julita,,41901,,,,,,,,11,,,,,,,,
PH060400000,PH060409000,PH060409012,Finnish Red Cross,Aklan,Libacao,Julita,,41755,79,79,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409012,Finnish Red Cross,Aklan,Libacao,Julita,,41842,,,78,,78,,,,,,,,,,,
PH060400000,PH060409000,PH060409012,Finnish Red Cross,Aklan,Libacao,Julita,,41901,,,1,,1,,,,,,,,,,,
PH060400000,PH060409000,PH060409013,Finnish Red Cross,Aklan,Libacao,Luctoga,,41830,117,116,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409013,Finnish Red Cross,Aklan,Libacao,Luctoga,,41842,,,113,,113,,,,,,,,,,,
PH060400000,PH060409000,PH060409013,Finnish Red Cross,Aklan,Libacao,Luctoga,,41929,,,1,,1,,,,,,,,,,,
PH060400000,PH060409000,PH060409014,Finnish Red Cross,Aklan,Libacao,Magugba,,41830,61,61,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409014,Finnish Red Cross,Aklan,Libacao,Magugba,,41867,,,60,,60,,,,,,,,,,,
PH060400000,PH060409000,PH060409015,Finnish Red Cross,Aklan,Libacao,Manika,,41867,160,112,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409015,Finnish Red Cross,Aklan,Libacao,Manika,,41871,,48,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409015,Finnish Red Cross,Aklan,Libacao,Manika,,41879,,,160,,160,,,,,,,,,,,
PH060400000,PH060409000,PH060409016,Finnish Red Cross,Aklan,Libacao,Ogsip,,41789,40,39,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409016,Finnish Red Cross,Aklan,Libacao,Ogsip,,41858,,,38,,38,,,,,,,,,,,
PH060400000,PH060409000,PH060409016,Finnish Red Cross,Aklan,Libacao,Ogsip,,41867,,1,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409017,Finnish Red Cross,Aklan,Libacao,Ortega,,41755,39,39,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409017,Finnish Red Cross,Aklan,Libacao,Ortega,,41842,,,38,,38,,,,,,,,,,,
PH060400000,PH060409000,PH060409018,Finnish Red Cross,Aklan,Libacao,Oyang,,41871,50,50,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409018,Finnish Red Cross,Aklan,Libacao,Oyang,,41879,,,50,,50,,,,,,,,,,,
PH060400000,PH060409000,PH060409019,Finnish Red Cross,Aklan,Libacao,Pampango,,41758,95,95,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409019,Finnish Red Cross,Aklan,Libacao,Pampango,,41842,,,93,,93,,,,,,,,,,,
PH060400000,PH060409000,PH060409019,Finnish Red Cross,Aklan,Libacao,Pampango,,41871,,,1,,1,,,,,,,,,,,
PH060400000,PH060409000,PH060409020,Finnish Red Cross,Aklan,Libacao,Pinonoy,,41789,61,60,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409020,Finnish Red Cross,Aklan,Libacao,Pinonoy,,41858,,,58,,58,,,,,,,,,,,
PH060400000,PH060409000,PH060409020,Finnish Red Cross,Aklan,Libacao,Pinonoy,,41867,,1,1,,1,,,,,,,,,,,
PH060400000,PH060409000,PH060409022,Finnish Red Cross,Aklan,Libacao,Rivera,,41755,15,15,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409022,Finnish Red Cross,Aklan,Libacao,Rivera,,41842,,,15,,15,,,,,,,,,,,
PH060400000,PH060409000,PH060409023,Finnish Red Cross,Aklan,Libacao,Rosal,,41758,52,52,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409023,Finnish Red Cross,Aklan,Libacao,Rosal,,41842,,,52,,52,,,,,,,,,,,
PH060400000,PH060409000,PH060409024,Finnish Red Cross,Aklan,Libacao,Sibalew,,41830,56,56,,,,,,,,,,,,,,
PH060400000,PH060409000,PH060409024,Finnish Red Cross,Aklan,Libacao,Sibalew,,41867,,,55,,55,,,,,,,,,,,
PH060400000,PH060410000,PH060410001,Spanish Red Cross,Aklan,Madalag,Alaminos,,41781,49,,,,,70,70,19,,,,,,,,
PH060400000,PH060410000,PH060410001,Spanish Red Cross,Aklan,Madalag,Alaminos,,41908,,49,,49,,,,,,,,,,,,
PH060400000,PH060410000,PH060410001,Spanish Red Cross,Aklan,Madalag,Alaminos,,41936,,,49,,,,,,,,,,,,,
PH060400000,PH060410000,PH060410001,Spanish Red Cross,Aklan,Madalag,Alaminos,,41936,,,,,49,,,,,,,,,,,
PH060400000,PH060410000,PH060410002,Spanish Red Cross,Aklan,Madalag,Alas-as,,41774,53,,,,,65,65,12,,,,,,,,
PH060400000,PH060410000,PH060410002,Spanish Red Cross,Aklan,Madalag,Alas-as,,41908,,53,,14,,,,,,,,,,,,
PH060400000,PH060410000,PH060410002,Spanish Red Cross,Aklan,Madalag,Alas-as,,41936,,,53,,,,,,,,,,,,,
PH060400000,PH060410000,PH060410002,Spanish Red Cross,Aklan,Madalag,Alas-as,,41936,,,,,14,,,,,,,,,,,
PH060400000,PH060410000,PH060410002,Spanish Red Cross,Aklan,Madalag,Alas-as,,41943,,,,,,,,,,6,,,,,,
PH060400000,PH060410000,PH060410003,Spanish Red Cross,Aklan,Madalag,Bacyang,,41788,51,,,,,76,76,24,,,,,,,,
PH060400000,PH060410000,PH060410003,Spanish Red Cross,Aklan,Madalag,Bacyang,,41922,1,,,,,,,,,,,,,,,
PH060400000,PH060410000,PH060410003,Spanish Red Cross,Aklan,Madalag,Bacyang,,41943,,,,,,,,,,9,,,,,,
PH060400000,PH060410000,PH060410004,Spanish Red Cross,Aklan,Madalag,Balactasan,,41775,10,,,,,27,27,17,,,,,,,,
PH060400000,PH060410000,PH060410004,Spanish Red Cross,Aklan,Madalag,Balactasan,,41908,,10,,2,,,,,,,,,,,,
PH060400000,PH060410000,PH060410004,Spanish Red Cross,Aklan,Madalag,Balactasan,,41936,,,10,,,,,,,,,,,,,
PH060400000,PH060410000,PH060410004,Spanish Red Cross,Aklan,Madalag,Balactasan,,41936,,,,,2,,,,,,,,,,,
PH060400000,PH060410000,PH060410004,Spanish Red Cross,Aklan,Madalag,Balactasan,,41943,,,,,,,,,,3,,,,,,
PH060400000,PH060410000,PH060410005,Spanish Red Cross,Aklan,Madalag,Cabangahan,,41775,19,,,,,44,44,24,,,,,,,,
PH060400000,PH060410000,PH060410005,Spanish Red Cross,Aklan,Madalag,Cabangahan,,41866,,,,,,24,24,,,5,5,,,,,
PH060400000,PH060410000,PH060410006,Spanish Red Cross,Aklan,Madalag,Cabilawan,,41782,18,,,,,59,59,6,,,,,,,,
PH060400000,PH060410000,PH060410007,Spanish Red Cross,Aklan,Madalag,Catabana,,41781,36,,,,,58,58,23,,,,,,,,
PH060400000,PH060410000,PH060410008,Spanish Red Cross,Aklan,Madalag,Dit-Ana,,41771,38,,,,,28,28,20,,,,,,,,
PH060400000,PH060410000,PH060410008,Spanish Red Cross,Aklan,Madalag,Dit-Ana,,41908,,38,,38,,,,,,,,,,,,
PH060400000,PH060410000,PH060410008,Spanish Red Cross,Aklan,Madalag,Dit-Ana,,41936,,,38,,,,,,,,,,,,,
PH060400000,PH060410000,PH060410008,Spanish Red Cross,Aklan,Madalag,Dit-Ana,,41936,,,,,38,,,,,,,,,,,
PH060400000,PH060410000,PH060410009,Spanish Red Cross,Aklan,Madalag,Galicia,,41810,10,,,,,37,37,13,,,,,,,,
PH060400000,PH060410000,PH060410010,Spanish Red Cross,Aklan,Madalag,Guinatu-an,,41780,26,,,,,46,46,11,,,,,,,,
PH060400000,PH060410000,PH060410010,Spanish Red Cross,Aklan,Madalag,Guinatu-an,,41908,,26,,,,,,,,,,,,,,
PH060400000,PH060410000,PH060410010,Spanish Red Cross,Aklan,Madalag,Guinatu-an,,41936,,,25,,,,,,,,,,,,,
PH060400000,PH060410000,PH060410011,Spanish Red Cross,Aklan,Madalag,Logohon,,41785,32,,,,,74,74,14,,,,,,,,
PH060400000,PH060410000,PH060410011,Spanish Red Cross,Aklan,Madalag,Logohon,,41866,,,,,,115,115,,,6,6,,,,,
PH060400000,PH060410000,PH060410011,Spanish Red Cross,Aklan,Madalag,Logohon,,41908,,32,,15,,,,,,,,,,,,
PH060400000,PH060410000,PH060410011,Spanish Red Cross,Aklan,Madalag,Logohon,,41936,,,32,,,,,,,,,,,,,
PH060400000,PH060410000,PH060410011,Spanish Red Cross,Aklan,Madalag,Logohon,,41936,,,,,15,,,,,,,,,,,
PH060400000,PH060410000,PH060410012,Spanish Red Cross,Aklan,Madalag,Mamba,,41771,45,,,,,112,112,29,,,,,,,,
PH060400000,PH060410000,PH060410012,Spanish Red Cross,Aklan,Madalag,Mamba,,41908,,45,,45,,,,,,,,,,,,
PH060400000,PH060410000,PH060410012,Spanish Red Cross,Aklan,Madalag,Mamba,,41936,,,45,,,,,,,,,,,,,
