Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,HH Support Beneficiaries Selected,First Installment,Second Installment,Skills Dev Trainees Selected,Training Started,Training Completed,Trainees Placed,Selection of Enterprise,Beneficiary Submitted Business Plan,Enterprise Support Completed (cash transferred),Comm Proposals Submitted,Support Initiated,Project Turnover
PH060400000,PH060403000,PH060403025,IFRC,Aklan,Banga,Taba-ao,,8/16/14,54,51,,,,,,,,,,,
PH060400000,PH060403000,PH060403026,IFRC,Aklan,Banga,Tabayon,,8/16/14,96,96,,,,,,,,,,,
PH060400000,PH060403000,PH060403028,IFRC,Aklan,Banga,Torralba,,8/16/14,102,98,,,,,,,,,,,
PH060400000,PH060403000,PH060403029,IFRC,Aklan,Banga,Ugsod,,8/16/14,115,109,,,,,,,,,,,
PH060400000,PH060403000,PH060403030,IFRC,Aklan,Banga,Venturanza,,8/16/14,28,27,,,,,,,,,,,
PH060400000,PH060409000,PH060409001,Finnish Red Cross,Aklan,Libacao,Agmailig,,4/24/14,20,19,,,,,,,,,,,
PH060400000,PH060409000,PH060409001,Finnish Red Cross,Aklan,Libacao,Agmailig,,7/22/14,,,18,,,,,,,,,,
PH060400000,PH060409000,PH060409001,Finnish Red Cross,Aklan,Libacao,Agmailig,,8/20/14,3,4,4,,,,,,,,,,
PH060400000,PH060409000,PH060409002,Finnish Red Cross,Aklan,Libacao,Alfonso XII,,5/24/14,75,,,,,,,,,,,,
PH060400000,PH060409000,PH060409002,Finnish Red Cross,Aklan,Libacao,Alfonso XII,,7/10/14,,75,,,,,,,,,,,
PH060400000,PH060409000,PH060409002,Finnish Red Cross,Aklan,Libacao,Alfonso XII,,8/16/14,1,1,76,,,,,,,,,,
PH060400000,PH060409000,PH060409003,Finnish Red Cross,Aklan,Libacao,Batobato,,7/10/14,15,15,,,,,,,,,,,
PH060400000,PH060409000,PH060409003,Finnish Red Cross,Aklan,Libacao,Batobato,,8/16/14,,,15,,,,,,,,,,
PH060400000,PH060409000,PH060409004,Finnish Red Cross,Aklan,Libacao,Bonza,,5/30/14,17,17,,,,,,,,,,,
PH060400000,PH060409000,PH060409004,Finnish Red Cross,Aklan,Libacao,Bonza,,8/7/14,,,15,,,,,,,,,,
PH060400000,PH060409000,PH060409005,Finnish Red Cross,Aklan,Libacao,Calacabian,,5/30/14,31,31,,,,,,,,,,,
PH060400000,PH060409000,PH060409005,Finnish Red Cross,Aklan,Libacao,Calacabian,,8/7/14,,,27,,,,,,,,,,
PH060400000,PH060409000,PH060409005,Finnish Red Cross,Aklan,Libacao,Calacabian,,8/16/14,,,4,,,,,,,,,,
PH060400000,PH060409000,PH060409006,Finnish Red Cross,Aklan,Libacao,Calamcan,,7/10/14,5,5,,,,,,,,,,,
PH060400000,PH060409000,PH060409006,Finnish Red Cross,Aklan,Libacao,Calamcan,,8/16/14,,,5,,,,,,,,,,
PH060400000,PH060409000,PH060409007,Finnish Red Cross,Aklan,Libacao,Can-Awan,,7/10/14,25,25,,,,,,,,,,,
PH060400000,PH060409000,PH060409007,Finnish Red Cross,Aklan,Libacao,Can-Awan,,8/16/14,,,25,,,,,,,,,,
PH060400000,PH060409000,PH060409008,Finnish Red Cross,Aklan,Libacao,Casit-an,,5/24/14,19,18,,,,,,,,,,,
PH060400000,PH060409000,PH060409008,Finnish Red Cross,Aklan,Libacao,Casit-an,,7/22/14,,,17,,,,,,,,,,
PH060400000,PH060409000,PH060409008,Finnish Red Cross,Aklan,Libacao,Casit-an,,8/16/14,,1,,,,,,,,,,,
PH060400000,PH060409000,PH060409008,Finnish Red Cross,Aklan,Libacao,Casit-an,,8/20/14,,,1,,,,,,,,,,
PH060400000,PH060409000,PH060409010,Finnish Red Cross,Aklan,Libacao,Guadalupe,,4/24/14,30,30,,,,,,,,,,,
PH060400000,PH060409000,PH060409010,Finnish Red Cross,Aklan,Libacao,Guadalupe,,7/22/14,3,,30,,,,,,,,,,
PH060400000,PH060409000,PH060409010,Finnish Red Cross,Aklan,Libacao,Guadalupe,,8/20/14,,3,,,,,,,,,,,
PH060400000,PH060409000,PH060409010,Finnish Red Cross,Aklan,Libacao,Guadalupe,,9/19/14,,,3,,,,,,,,,,
PH060400000,PH060409000,PH060409011,Finnish Red Cross,Aklan,Libacao,Janlud,,5/30/14,76,76,,,,,,,,,,,
PH060400000,PH060409000,PH060409011,Finnish Red Cross,Aklan,Libacao,Janlud,,8/7/14,,,75,,,,,,,,,,
PH060400000,PH060409000,PH060409011,Finnish Red Cross,Aklan,Libacao,Janlud,,8/20/14,,,1,,,,,,,,,,
PH060400000,PH060409000,PH060409012,Finnish Red Cross,Aklan,Libacao,Julita,,4/26/14,64,59,,,,,,,,,,,
PH060400000,PH060409000,PH060409012,Finnish Red Cross,Aklan,Libacao,Julita,,7/22/14,,,58,,,,,,,,,,
PH060400000,PH060409000,PH060409012,Finnish Red Cross,Aklan,Libacao,Julita,,8/20/14,,5,5,,,,,,,,,,
PH060400000,PH060409000,PH060409013,Finnish Red Cross,Aklan,Libacao,Luctoga,,7/10/14,80,79,,,,,,,,,,,
PH060400000,PH060409000,PH060409013,Finnish Red Cross,Aklan,Libacao,Luctoga,,8/16/14,,,77,,,,,,,,,,
PH060400000,PH060409000,PH060409014,Finnish Red Cross,Aklan,Libacao,Magugba,,7/10/14,6,6,,,,,,,,,,,
PH060400000,PH060409000,PH060409014,Finnish Red Cross,Aklan,Libacao,Magugba,,8/16/14,,,6,,,,,,,,,,
PH060400000,PH060409000,PH060409016,Finnish Red Cross,Aklan,Libacao,Ogsip,,5/30/14,29,29,,,,,,,,,,,
PH060400000,PH060409000,PH060409016,Finnish Red Cross,Aklan,Libacao,Ogsip,,8/7/14,,,29,,,,,,,,,,
PH060400000,PH060409000,PH060409017,Finnish Red Cross,Aklan,Libacao,Ortega,,4/26/14,28,28,,,,,,,,,,,
PH060400000,PH060409000,PH060409017,Finnish Red Cross,Aklan,Libacao,Ortega,,7/22/14,,,27,,,,,,,,,,
PH060400000,PH060409000,PH060409017,Finnish Red Cross,Aklan,Libacao,Ortega,,8/20/14,,,1,,,,,,,,,,
PH060400000,PH060409000,PH060409019,Finnish Red Cross,Aklan,Libacao,Pampango,,4/29/14,22,22,,,,,,,,,,,
PH060400000,PH060409000,PH060409019,Finnish Red Cross,Aklan,Libacao,Pampango,,7/22/14,,,22,,,,,,,,,,
PH060400000,PH060409000,PH060409019,Finnish Red Cross,Aklan,Libacao,Pampango,,8/20/14,5,5,,,,,,,,,,,
PH060400000,PH060409000,PH060409019,Finnish Red Cross,Aklan,Libacao,Pampango,,9/19/14,,,5,,,,,,,,,,
PH060400000,PH060409000,PH060409020,Finnish Red Cross,Aklan,Libacao,Pinonoy,,5/30/14,24,23,,,,,,,,,,,
PH060400000,PH060409000,PH060409020,Finnish Red Cross,Aklan,Libacao,Pinonoy,,8/7/14,,,23,,,,,,,,,,
PH060400000,PH060409000,PH060409020,Finnish Red Cross,Aklan,Libacao,Pinonoy,,8/16/14,,1,1,,,,,,,,,,
PH060400000,PH060409000,PH060409022,Finnish Red Cross,Aklan,Libacao,Rivera,,4/26/14,16,16,,,,,,,,,,,
PH060400000,PH060409000,PH060409022,Finnish Red Cross,Aklan,Libacao,Rivera,,7/22/14,,,16,,,,,,,,,,
PH060400000,PH060409000,PH060409023,Finnish Red Cross,Aklan,Libacao,Rosal,,4/29/14,57,57,,,,,,,,,,,
PH060400000,PH060409000,PH060409023,Finnish Red Cross,Aklan,Libacao,Rosal,,7/22/14,,,57,,,,,,,,,,
PH060400000,PH060409000,PH060409023,Finnish Red Cross,Aklan,Libacao,Rosal,,8/20/14,2,2,,,,,,,,,,,
PH060400000,PH060409000,PH060409023,Finnish Red Cross,Aklan,Libacao,Rosal,,9/19/14,,,2,,,,,,,,,,
PH060400000,PH060409000,PH060409024,Finnish Red Cross,Aklan,Libacao,Sibalew,,7/10/14,17,17,,,,,,,,,,,
PH060400000,PH060409000,PH060409024,Finnish Red Cross,Aklan,Libacao,Sibalew,,8/16/14,,,17,,,,,,,,,,
PH060400000,PH060410000,PH060410001,Spanish Red Cross,Aklan,Madalag,Alaminos,,9/19/14,47,,,,,,,,,,,,
PH060400000,PH060410000,PH060410002,Spanish Red Cross,Aklan,Madalag,Alas-as,,5/15/14,51,,,,,,,,,,,,
PH060400000,PH060410000,PH060410003,Spanish Red Cross,Aklan,Madalag,Bacyang,,5/29/14,66,,,,,,,,,,,,
PH060400000,PH060410000,PH060410004,Spanish Red Cross,Aklan,Madalag,Balactasan,,5/16/14,27,,,,,,,,,,,,
PH060400000,PH060410000,PH060410005,Spanish Red Cross,Aklan,Madalag,Cabangahan,,5/16/14,43,,,,,,,,,,,,
PH060400000,PH060410000,PH060410006,Spanish Red Cross,Aklan,Madalag,Cabilawan,,5/23/14,24,,,,,,,,,,,,
PH060400000,PH060410000,PH060410007,Spanish Red Cross,Aklan,Madalag,Catabana,,5/22/14,44,,,,,,,,,,,,
PH060400000,PH060410000,PH060410008,Spanish Red Cross,Aklan,Madalag,Dit-Ana,,5/12/14,53,,,,,,,,,,,,
PH060400000,PH060410000,PH060410009,Spanish Red Cross,Aklan,Madalag,Galicia,,7/30/14,23,,,,,,,,,,,,
PH060400000,PH060410000,PH060410010,Spanish Red Cross,Aklan,Madalag,Guinatu-an,,5/21/14,37,,,,,,,,,,,,
PH060400000,PH060410000,PH060410011,Spanish Red Cross,Aklan,Madalag,Logohon,,5/26/14,46,,,,,,,,,,,,
PH060400000,PH060410000,PH060410012,Spanish Red Cross,Aklan,Madalag,Mamba,,5/12/14,62,,,,,,,,,,,,
PH060400000,PH060410000,PH060410013,Spanish Red Cross,Aklan,Madalag,Maria Cristina,,7/23/14,114,,,,,,,,,,,,
PH060400000,PH060410000,PH060410014,Spanish Red Cross,Aklan,Madalag,Medina,,5/13/14,78,,,,,,,,,,,,
PH060400000,PH060410000,PH060410015,Spanish Red Cross,Aklan,Madalag,Mercedes,,5/29/14,46,,,,,,,,,,,,
PH060400000,PH060410000,PH060410016,Spanish Red Cross,Aklan,Madalag,Napnot,,5/27/14,42,,,,,,,,,,,,
PH060400000,PH060410000,PH060410017,Spanish Red Cross,Aklan,Madalag,Pang-Itan,,5/28/14,62,,,,,,,,,,,,
PH060400000,PH060410000,PH060410018,Spanish Red Cross,Aklan,Madalag,Paningayan,,7/30/14,76,,,,,,,,,,,,
PH060400000,PH060410000,PH060410019,Spanish Red Cross,Aklan,Madalag,Panipiason,,7/16/14,47,,,,,,,,,,,,
PH060400000,PH060410000,PH060410020,Spanish Red Cross,Aklan,Madalag,Poblacion,,9/19/14,41,,,,,,,,,,,,
PH060400000,PH060410000,PH060410021,Spanish Red Cross,Aklan,Madalag,San Jose,,7/30/14,91,,,,,,,,,,,,
PH060400000,PH060410000,PH060410022,Spanish Red Cross,Aklan,Madalag,Singay,,5/21/14,26,,,,,,,,,,,,
PH060400000,PH060410000,PH060410023,Spanish Red Cross,Aklan,Madalag,Talangban,,5/27/14,47,,,,,,,,,,,,
PH060400000,PH060410000,PH060410024,Spanish Red Cross,Aklan,Madalag,Talimagao,,5/23/14,38,,,,,,,,,,,,
PH060400000,PH060410000,PH060410025,Spanish Red Cross,Aklan,Madalag,Tigbawan,,5/15/14,41,,,,,,,,,,,,
PH060400000,PH060415000,PH060415001,IFRC,Aklan,New Washington,Candelaria,,5/5/14,36,,,,,,,,,,,,
PH060400000,PH060415000,PH060415001,IFRC,Aklan,New Washington,Candelaria,,7/3/14,,36,,,,,,,,,,,
PH060400000,PH060415000,PH060415001,IFRC,Aklan,New Washington,Candelaria,,9/19/14,,,33,,,,,,,,,,
PH060400000,PH060415000,PH060415003,IFRC,Aklan,New Washington,Dumaguit,,5/14/14,36,,,,,,,,,,,,
PH060400000,PH060415000,PH060415003,IFRC,Aklan,New Washington,Dumaguit,,7/3/14,,32,,,,,,,,,,,
PH060400000,PH060415000,PH060415003,IFRC,Aklan,New Washington,Dumaguit,,8/19/14,,,32,,,,,,,,,,
PH060400000,PH060415000,PH060415005,IFRC,Aklan,New Washington,Guinbaliwan,,5/5/14,150,,,,,,,,,,,,
PH060400000,PH060415000,PH060415005,IFRC,Aklan,New Washington,Guinbaliwan,,7/3/14,,142,,,,,,,,,,,
PH060400000,PH060415000,PH060415005,IFRC,Aklan,New Washington,Guinbaliwan,,8/19/14,,,142,,,,,,,,,,
PH060400000,PH060415000,PH060415006,IFRC,Aklan,New Washington,Jalas,,6/9/14,148,,,,,,,,,,,,
PH060400000,PH060415000,PH060415006,IFRC,Aklan,New Washington,Jalas,,7/3/14,,131,,,,,,,,,,,
PH060400000,PH060415000,PH060415006,IFRC,Aklan,New Washington,Jalas,,8/19/14,,,130,,,,,,,,,,
PH060400000,PH060415000,PH060415015,IFRC,Aklan,New Washington,Puis,,6/9/14,114,,,,,,,,,,,,
PH060400000,PH060415000,PH060415015,IFRC,Aklan,New Washington,Puis,,7/3/14,,111,,,,,,,,,,,
PH060400000,PH060415000,PH060415015,IFRC,Aklan,New Washington,Puis,,8/19/14,,,110,,,,,,,,,,
PH060600000,PH060602000,PH060602002,IFRC,Antique,Barbaza,Baghari,,6/30/14,40,,,,,,,,,,,,
PH060600000,PH060602000,PH060602002,IFRC,Antique,Barbaza,Baghari,,8/26/14,,40,,,,,,,,,,,
PH060600000,PH060602000,PH060602003,IFRC,Antique,Barbaza,Bahuyan,,6/14/14,45,,,,,,,,,,,,
PH060600000,PH060602000,PH060602003,IFRC,Antique,Barbaza,Bahuyan,,6/26/14,,45,,,,,,,,,,,
PH060600000,PH060602000,PH060602003,IFRC,Antique,Barbaza,Bahuyan,,7/1/14,18,,,,,,,,,,,,
PH060600000,PH060602000,PH060602003,IFRC,Antique,Barbaza,Bahuyan,,8/13/14,,,43,,,,,,,,,,
PH060600000,PH060602000,PH060602003,IFRC,Antique,Barbaza,Bahuyan,,8/26/14,,18,,,,,,,,,,,
PH060600000,PH060602000,PH060602004,IFRC,Antique,Barbaza,Beri,,5/27/14,70,,,,,,,,,,,,
PH060600000,PH060602000,PH060602004,IFRC,Antique,Barbaza,Beri,,6/26/14,,70,,,,,,,,,,,
PH060600000,PH060602000,PH060602004,IFRC,Antique,Barbaza,Beri,,7/3/14,49,,,,,,,,,,,,
PH060600000,PH060602000,PH060602004,IFRC,Antique,Barbaza,Beri,,8/13/14,,,70,,,,,,,,,,
PH060600000,PH060602000,PH060602004,IFRC,Antique,Barbaza,Beri,,8/26/14,,49,,,,,,,,,,,
PH060600000,PH060602000,PH060602007,IFRC,Antique,Barbaza,Binangbang Centro,,5/29/14,69,,,,,,,,,,,,
PH060600000,PH060602000,PH060602007,IFRC,Antique,Barbaza,Binangbang Centro,,6/26/14,,69,,,,,,,,,,,
PH060600000,PH060602000,PH060602007,IFRC,Antique,Barbaza,Binangbang Centro,,7/1/14,8,,,,,,,,,,,,
PH060600000,PH060602000,PH060602007,IFRC,Antique,Barbaza,Binangbang Centro,,8/13/14,,,66,,,,,,,,,,
PH060600000,PH060602000,PH060602007,IFRC,Antique,Barbaza,Binangbang Centro,,8/26/14,,8,,,,,,,,,,,
PH060600000,PH060602000,PH060602008,IFRC,Antique,Barbaza,Binanu-an,,7/4/14,36,,,,,,,,,,,,
PH060600000,PH060602000,PH060602008,IFRC,Antique,Barbaza,Binanu-an,,8/26/14,,36,,,,,,,,,,,
PH060600000,PH060602000,PH060602009,IFRC,Antique,Barbaza,Cadiao,,8/4/14,47,,,,,,,,,,,,
PH060600000,PH060602000,PH060602012,IFRC,Antique,Barbaza,Cubay,,6/18/14,48,,,,,,,,,,,,
PH060600000,PH060602000,PH060602012,IFRC,Antique,Barbaza,Cubay,,6/26/14,,48,,,,,,,,,,,
PH060600000,PH060602000,PH060602012,IFRC,Antique,Barbaza,Cubay,,7/2/14,17,,,,,,,,,,,,
PH060600000,PH060602000,PH060602012,IFRC,Antique,Barbaza,Cubay,,8/13/14,,,48,,,,,,,,,,
PH060600000,PH060602000,PH060602012,IFRC,Antique,Barbaza,Cubay,,8/26/14,,18,,,,,,,,,,,
PH060600000,PH060602000,PH060602012,IFRC,Antique,Barbaza,Cubay,,10/3/14,,,,,,,,,,,,,
PH060600000,PH060602000,PH060602018,IFRC,Antique,Barbaza,Embrangga-an,,7/4/14,23,,,,,,,,,,,,
PH060600000,PH060602000,PH060602018,IFRC,Antique,Barbaza,Embrangga-an,,8/26/14,,23,,,,,,,,,,,
PH060600000,PH060602000,PH060602014,IFRC,Antique,Barbaza,Gua,,6/12/14,66,,,,,,,,,,,,
PH060600000,PH060602000,PH060602014,IFRC,Antique,Barbaza,Gua,,6/26/14,,66,,,,,,,,,,,
PH060600000,PH060602000,PH060602014,IFRC,Antique,Barbaza,Gua,,7/1/14,16,,,,,,,,,,,,
PH060600000,PH060602000,PH060602014,IFRC,Antique,Barbaza,Gua,,8/13/14,,,66,,,,,,,,,,
PH060600000,PH060602000,PH060602014,IFRC,Antique,Barbaza,Gua,,8/26/14,,16,,,,,,,,,,,
PH060600000,PH060602000,PH060602020,IFRC,Antique,Barbaza,Ipil,,6/19/14,31,,,,,,,,,,,,
PH060600000,PH060602000,PH060602020,IFRC,Antique,Barbaza,Ipil,,6/26/14,,31,,,,,,,,,,,
PH060600000,PH060602000,PH060602020,IFRC,Antique,Barbaza,Ipil,,7/1/14,76,,,,,,,,,,,,
PH060600000,PH060602000,PH060602020,IFRC,Antique,Barbaza,Ipil,,8/13/14,,,31,,,,,,,,,,
PH060600000,PH060602000,PH060602020,IFRC,Antique,Barbaza,Ipil,,8/26/14,,75,,,,,,,,,,,
PH060600000,PH060602000,PH060602021,IFRC,Antique,Barbaza,Jinalinan,,6/11/14,110,,,,,,,,,,,,
PH060600000,PH060602000,PH060602021,IFRC,Antique,Barbaza,Jinalinan,,6/26/14,,109,,,,,,,,,,,
PH060600000,PH060602000,PH060602021,IFRC,Antique,Barbaza,Jinalinan,,7/9/14,43,,,,,,,,,,,,
PH060600000,PH060602000,PH060602021,IFRC,Antique,Barbaza,Jinalinan,,8/13/14,,,106,,,,,,,,,,
PH060600000,PH060602000,PH060602021,IFRC,Antique,Barbaza,Jinalinan,,8/26/14,,43,,,,,,,,,,,
PH060600000,PH060602000,PH060602024,IFRC,Antique,Barbaza,Lisub,,7/2/14,56,,,,,,,,,,,,
PH060600000,PH060602000,PH060602024,IFRC,Antique,Barbaza,Lisub,,8/26/14,,56,,,,,,,,,,,
PH060600000,PH060602000,PH060602030,IFRC,Antique,Barbaza,Mayos,,7/3/14,10,,,,,,,,,,,,
PH060600000,PH060602000,PH060602030,IFRC,Antique,Barbaza,Mayos,,8/26/14,,10,,,,,,,,,,,
PH060600000,PH060602000,PH060602033,IFRC,Antique,Barbaza,Palma,,6/17/14,117,,,,,,,,,,,,
PH060600000,PH060602000,PH060602033,IFRC,Antique,Barbaza,Palma,,7/2/14,19,,,,,,,,,,,,
PH060600000,PH060602000,PH060602033,IFRC,Antique,Barbaza,Palma,,8/13/14,,,110,,,,,,,,,,
PH060600000,PH060602000,PH060602033,IFRC,Antique,Barbaza,Palma,,9/26/14,,126,,,,,,,,,,,
PH060600000,PH060602000,PH060602033,IFRC,Antique,Barbaza,Palma,,10/3/14,,,,,,,,,,,,,
PH060600000,PH060602000,PH060602034,IFRC,Antique,Barbaza,Poblacion,,6/19/14,63,,,,,,,,,,,,
PH060600000,PH060602000,PH060602034,IFRC,Antique,Barbaza,Poblacion,,7/5/14,66,,,,,,,,,,,,
PH060600000,PH060602000,PH060602034,IFRC,Antique,Barbaza,Poblacion,,8/13/14,,,63,,,,,,,,,,
PH060600000,PH060602000,PH060602034,IFRC,Antique,Barbaza,Poblacion,,9/26/14,,128,,,,,,,,,,,
PH060600000,PH060602000,PH060602040,IFRC,Antique,Barbaza,Yapo,,6/15/14,21,,,,,,,,,,,,
PH060600000,PH060602000,PH060602040,IFRC,Antique,Barbaza,Yapo,,7/1/14,13,,,,,,,,,,,,
PH060600000,PH060602000,PH060602040,IFRC,Antique,Barbaza,Yapo,,8/13/14,,,20,,,,,,,,,,
PH060600000,PH060602000,PH060602040,IFRC,Antique,Barbaza,Yapo,,9/26/14,,34,,,,,,,,,,,
PH060600000,PH060609000,PH060609043,IFRC,Antique,Laua-An,Bagongbayan,,7/19/14,42,,,,,,,,,,,,
PH060600000,PH060609000,PH060609002,IFRC,Antique,Laua-An,Banban,,7/28/14,23,,,,,,,,,,,,
PH060600000,PH060609000,PH060609004,IFRC,Antique,Laua-An,Cabariwan,,7/18/14,40,,,,,,,,,,,,
PH060600000,PH060609000,PH060609005,IFRC,Antique,Laua-An,Cadajug,,7/18/14,136,,,,,,,,,,,,
PH060600000,PH060609000,PH060609008,IFRC,Antique,Laua-An,Casit-an,,7/19/14,111,,,,,,,,,,,,
PH060600000,PH060609000,PH060609009,IFRC,Antique,Laua-An,Guinbanga-an,,7/26/14,40,,,,,,,,,,,,
PH060600000,PH060609000,PH060609011,IFRC,Antique,Laua-An,Guisijan,,7/17/14,34,,,,,,,,,,,,
PH060600000,PH060609000,PH060609011,IFRC,Antique,Laua-An,Guisijan,,7/31/14,9,,,,,,,,,,,,
PH060600000,PH060609000,PH060609012,IFRC,Antique,Laua-An,Igtadiao,,7/19/14,29,,,,,,,,,,,,
PH060600000,PH060609000,PH060609013,IFRC,Antique,Laua-An,Intao,,7/29/14,48,,,,,,,,,,,,
PH060600000,PH060609000,PH060609014,IFRC,Antique,Laua-An,Jaguikican,,7/30/14,103,,,,,,,,,,,,
PH060600000,PH060609000,PH060609021,IFRC,Antique,Laua-An,Lindero,,7/18/14,113,,,,,,,,,,,,
PH060600000,PH060609000,PH060609022,IFRC,Antique,Laua-An,Liya-liya,,7/19/14,37,,,,,,,,,,,,
PH060600000,PH060609000,PH060609026,IFRC,Antique,Laua-An,Maria,,7/26/14,49,,,,,,,,,,,,
