Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,Classrooms Selected at School,Students covered by rehab / constructed classrooms,Classrooms Completed and Equipped,5.2 Distribution of School Kits
083700000,083722000,083722004,Netherlands Red Cross,Leyte,Isabel,Bantigue,Bantigue Elementary School,,,,,
083700000,083722000,083722007,Netherlands Red Cross,Leyte,Isabel,Can-andan,Can-Andan Elementary School,,,,,
083700000,083722000,083722008,Netherlands Red Cross,Leyte,Isabel,Cangag,Cangag Elementary School,,,,,
083700000,083722000,083722015,Netherlands Red Cross,Leyte,Isabel,Monte Alegre,Monte Alegre Elementary School,,,,,
083700000,083722000,083722017,Netherlands Red Cross,Leyte,Isabel,Puting Bato,Putting Bato Elementary School,,,,,
083700000,083722000,083722018,Netherlands Red Cross,Leyte,Isabel,San Francisco,San Francisco Elementary School,,,,,
083700000,083736000,083736017,Netherlands Red Cross,Leyte,Merida,Poblacion,Poblacion Day Care Center,,1,,,
083700000,083736000,083736022,Netherlands Red Cross,Leyte,Merida,Tubod,Tubod Day Care Center,,1,,,
083700000,083736000,083736023,Netherlands Red Cross,Leyte,Merida,Mat-e,Mat-E Day Care Center,,1,,,
083700000,083736000,083736004,Netherlands Red Cross,Leyte,Merida,Calunasan,Calunasan Day Care Center,,1,,,
083700000,083736000,083736013,Netherlands Red Cross,Leyte,Merida,Lundag,Lundag Day Care Center,,1,,,
083700000,083736000,083736023,Netherlands Red Cross,Leyte,Merida,Mat-e,Mat-E Elementary School,,,,,
083700000,083736000,083736004,Netherlands Red Cross,Leyte,Merida,Calunasan,Calunasan Elementary School,,,,,
083700000,083736000,083736005,Netherlands Red Cross,Leyte,Merida,Cambalong,Cambalong Elementary School,,,,,
083700000,083749000,083749002,Spanish Red Cross,Leyte,Tolosa,Canmogsay,,,3,152,,
083700000,083749000,083749003,Spanish Red Cross,Leyte,Tolosa,Cantariwis,,,1,102,,
083700000,083749000,083749004,Spanish Red Cross,Leyte,Tolosa,Capangihan,,,8,159,,
083700000,083749000,083749005,Spanish Red Cross,Leyte,Tolosa,Malbog,,,2,98,,
083700000,083749000,083749010,Spanish Red Cross,Leyte,Tolosa,San Roque,,,6,604,,
083700000,083749000,083749011,Spanish Red Cross,Leyte,Tolosa,San Vicente,,,9,220,,
083700000,083749000,083749012,Spanish Red Cross,Leyte,Tolosa,Tanghas,,,6,114,,
083700000,083748000,#N/A,Japanese Red Cross,Leyte,Tanauan,,Tanauan School of Craftsmanship & Home Industries,,,,,
083700000,083748000,#N/A,Japanese Red Cross,Leyte,Tanauan,,Tanauan II Central School,,,,,
083700000,083748000,#N/A,Japanese Red Cross,Leyte,Tanauan,,Tanauan National High School,,,,,
083700000,083748000,#N/A,Japanese Red Cross,Leyte,Tanauan,,Tanauan School of Arts and Trades,,,,,
083700000,083748000,#N/A,Japanese Red Cross,Leyte,Tanauan,,Philippine Science High School,,,,,
083700000,083710000,#N/A,Japanese Red Cross,Leyte,Burauen,,Burauen Elementary Schools,,,,,
083700000,083747000,083747093,Japanese Red Cross,Leyte,Tacloban City (Capital),Barangay 63,Sangkahan Elementary School,,,,,
083700000,083747000,083747093,Japanese Red Cross,Leyte,Tacloban City (Capital),Barangay 63,Sangkahan National High School,,,,,
083700000,083747000,083747123,Japanese Red Cross,Leyte,Tacloban City (Capital),Barangay 90 (San Jose),San Jose national High School,,,,,
083700000,083747000,083747047,,Leyte,Tacloban City (Capital),Barangay 25,Rizal Central School,,,,,1
083700000,083747000,083747105,,Leyte,Tacloban City (Capital),Barangay 74,Bliss Elem. School,,,,,
083700000,083747000,083747023,,Leyte,Tacloban City (Capital),Barangay 104 (Salvacion),Salvacion Elem. School,,,,,
083700000,083747000,083747027,,Leyte,Tacloban City (Capital),Barangay 108 (Tagapuro) ,Tagpuro Elem. School,,,,,
083700000,083747000,083747022,,Leyte,Tacloban City (Capital),Barangay 103-A (San Paglaum),Lorenzo Daa Mem. School,,,,,
083700000,083747000,083747083,,Leyte,Tacloban City (Capital),Barangay 54,San Fernando Elem. School,,,,,1
083700000,083747000,083747104,,Leyte,Tacloban City (Capital),Barangay 73,Bayanihan Elem. School,,,,,
083700000,083747000,083747018,,Leyte,Tacloban City (Capital),Barangay 100 (San Roque),San Roque Elem. School,,,,,1
083700000,083747000,083747021,,Leyte,Tacloban City (Capital),Barangay 103 (Palanog),Palanog Resettlement,,,,,1
083700000,083747000,#N/A,,Leyte,Tacloban City (Capital),,Judge Antonio Roy Mem. School,,,,,
083700000,083747000,083747136,,Leyte,Tacloban City (Capital),Barangay 110 (Utap),Utap Elem. School,,,,,1
083700000,083747000,083747044,,Leyte,Tacloban City (Capital),Barangay 22,Kapangi-an Central School,,,,,1
083700000,083747000,083747024,,Leyte,Tacloban City (Capital),Barangay 105 (Suhi),B. Bulante Elem. School,,,,,1
083700000,083747000,083747131,,Leyte,Tacloban City (Capital),Barangay 97 (Cabalawan),Cabalawan Elem. School,,,,,
083700000,083747000,083747155,,Leyte,Tacloban City (Capital),Barangay 94-A,Basper Elem. School,,,,,1
083700000,083747000,083747021,,Leyte,Tacloban City (Capital),Barangay 103 (Palanog),Palanog Elem. School,,,,,1
083700000,083747000,083747128,,Leyte,Tacloban City (Capital),Barangay 94 (Tigbao),TigbaoDiit Elem. School,,,,,1
083700000,083747000,083747127,,Leyte,Tacloban City (Capital),Barangay 93 (Bagacay),Bagacay Elem. School,,,,,1
083700000,083747000,083747133,,Leyte,Tacloban City (Capital),Barangay 99 (Diit),Mercyville Elem. School,,,,,1
083700000,083747000,083747110,,Leyte,Tacloban City (Capital),Barangay 79 (Marasbaras),Marasbaras Elem. School,,,,,1
083700000,083747000,083747039,,Leyte,Tacloban City (Capital),Barangay 18,Don Vicente Quintero Mem. School,,,,,
083700000,083747000,083747008,,Leyte,Tacloban City (Capital),Nula-tula (Bgys. 3 & 3A),Nula Tula Elem. School,,,,,1
083700000,083747000,083747132,,Leyte,Tacloban City (Capital),Barangay 98 (Camansinay),Camansihay Elem. School,,,,,
083700000,083747000,083747120,,Leyte,Tacloban City (Capital),Barangay 87,Fisherman's Village Elem. School,,,,,1
083700000,083747000,083747123,,Leyte,Tacloban City (Capital),Barangay 90 (San Jose),Manlurip Elem. School,,,,,1
083700000,083747000,083747019,,Leyte,Tacloban City (Capital),Barangay 101 (New Kawayan),Lucio Vivero Elem. School,,,,,
083700000,083747000,083747020,,Leyte,Tacloban City (Capital),Barangay 102 (Old Kawayan),Old Kawayan Elem. School,,,,,
083700000,083747000,083747018,,Leyte,Tacloban City (Capital),Barangay 100 (San Roque),Scandinavian Elem. School,,,,,
